number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
262,苹果炭疽病,Colletotrichum gloeosporioides,排水不良,Poor drainage,适宜发生条件,ConditionIs
263,苹果炭疽病,Colletotrichum gloeosporioides,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
264,苹果疫腐病,Phytophthora cactorum,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
265,苹果疫腐病,Phytophthora cactorum,树体郁闭,Tree closure,适宜发生条件,ConditionIs
266,苹果疫腐病,Phytophthora cactorum,杂草丛生,Overgrown,适宜发生条件,ConditionIs
267,苹果疫腐病,Phytophthora cactorum,树势较弱,Weak tree vigor,适宜发生条件,ConditionIs
268,苹果疫腐病,Phytophthora cactorum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
269,苹果煤污病,Capnodium spp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
270,苹果煤污病,Capnodium spp.,修剪不当,Improper pruning,适宜发生条件,ConditionIs
271,苹果煤污病,Capnodium spp.,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
272,苹果煤污病,Capnodium spp.,树冠过密,Too dense tree crown,适宜发生条件,ConditionIs
273,苹果煤污病,Capnodium spp.,果园杂草高,Orchard weeds high,适宜发生条件,ConditionIs
274,苹果蝇粪病,Schizothyrium pomi,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
275,苹果蝇粪病,Schizothyrium pomi,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
276,苹果蝇粪病,Schizothyrium pomi,树冠过密,Too dense tree crown,适宜发生条件,ConditionIs
277,苹果黑点病,Alternaria alternata apple pathotype,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
278,苹果疱性溃疡病,Diplodia seriata,土壤板结,Soil compaction,适宜发生条件,ConditionIs
279,苹果褐斑病,Marssonina coronaria,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
280,苹果褐斑病,Marssonina coronaria,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
281,苹果斑点落叶病,Alternaria alternata f. sp. mali,空气湿度大,High humidity,适宜发生条件,ConditionIs
282,苹果斑点落叶病,Alternaria alternata f. sp. mali,高温闷热,Hot and muggy,适宜发生条件,ConditionIs
283,苹果斑点落叶病,Alternaria alternata f. sp. mali,果园密植,Orchard dense planting,适宜发生条件,ConditionIs
284,苹果斑点落叶病,Alternaria alternata f. sp. mali,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
285,苹果斑点落叶病,Alternaria alternata f. sp. mali,杂草丛生,Overgrown,适宜发生条件,ConditionIs
286,苹果斑点落叶病,Alternaria alternata f. sp. mali,树势较弱,Weak tree vigor,适宜发生条件,ConditionIs
287,苹果斑点落叶病,Alternaria alternata f. sp. mali,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
288,苹果白粉病,Podosphaera leucotricha,春季温暖干旱,Warm and dry spring,适宜发生条件,ConditionIs
289,苹果白粉病,Podosphaera leucotricha,夏季多雨凉爽,Rainy and cool summer,适宜发生条件,ConditionIs
290,苹果白粉病,Podosphaera leucotricha,秋季晴朗,Autumn sunny,适宜发生条件,ConditionIs
291,苹果白粉病,Podosphaera leucotricha,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
292,苹果白粉病,Podosphaera leucotricha,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
293,苹果白粉病,Podosphaera leucotricha,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
294,苹果环纹叶枯病,Diplodia mali,多雨潮湿,Rainy and humid,适宜发生条件,ConditionIs
295,苹果环纹叶枯病,Diplodia mali,冷凉,Cool,适宜发生条件,ConditionIs
296,苹果银叶病,Chondrostereum purpureum,阴雨连绵,Continuous rain,适宜发生条件,ConditionIs
297,苹果银叶病,Chondrostereum purpureum,排水良好,Good drainage,适宜发生条件,ConditionIs
298,苹果银叶病,Chondrostereum purpureum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
299,苹果银叶病,Chondrostereum purpureum,地下水位高,High groundwater level,适宜发生条件,ConditionIs
300,苹果银叶病,Chondrostereum purpureum,排水不良,Poor drainage,适宜发生条件,ConditionIs
301,苹果树赤衣病,Erythricium salmonicolor,温暖,warmth,适宜发生条件,ConditionIs
302,苹果树赤衣病,Erythricium salmonicolor,多雨,Rainy,适宜发生条件,ConditionIs
303,苹果树赤衣病,Erythricium salmonicolor,潮湿,Wet,适宜发生条件,ConditionIs
304,苹果树赤衣病,Erythricium salmonicolor,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
305,苹果树地衣病,Lichen spp.,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
306,苹果树紫纹羽病,Helicobasidium mompa,土壤干旱,Soil drought,适宜发生条件,ConditionIs
307,苹果树紫纹羽病,Helicobasidium mompa,排水不良,Poor drainage,适宜发生条件,ConditionIs
308,苹果树紫纹羽病,Helicobasidium mompa,酸性土壤,Acidic soil,适宜发生条件,ConditionIs
309,苹果树紫纹羽病,Helicobasidium mompa,土壤板结,Soil compaction,适宜发生条件,ConditionIs
310,苹果树紫纹羽病,Helicobasidium mompa,杂草丛生,Overgrown,适宜发生条件,ConditionIs
311,苹果树紫纹羽病,Helicobasidium mompa,树冠郁闭,Closed canopy,适宜发生条件,ConditionIs
312,苹果树紫纹羽病,Helicobasidium mompa,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
313,苹果树白绢病,Sclerotium rolfsii,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
314,苹果树白绢病,Sclerotium rolfsii,排水不畅,Poor drainage,适宜发生条件,ConditionIs
315,苹果圆斑根腐病,Phytophthora cactorum,土壤干旱,Soil drought,适宜发生条件,ConditionIs
316,苹果圆斑根腐病,Phytophthora cactorum,水土大,Water and soil,适宜发生条件,ConditionIs
317,苹果圆斑根腐病,Phytophthora cactorum,质地板,Quality floor,适宜发生条件,ConditionIs
318,苹果圆斑根腐病,Phytophthora cactorum,通气性不好,Poor ventilation,适宜发生条件,ConditionIs
319,苹果苗立枯病,Rhizoctonia solani,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
320,苹果苗立枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
321,苹果苗立枯病,Rhizoctonia solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
322,苹果苗立枯病,Rhizoctonia solani,阴湿多雨,Wet and rainy,适宜发生条件,ConditionIs
323,苹果泡斑病,Apple blister canker,气温高,High temperature,适宜发生条件,ConditionIs
324,苹果泡斑病,Apple blister canker,湿度大,High humidity,适宜发生条件,ConditionIs
325,苹果泡斑病,Apple blister canker,多雨,Rainy,适宜发生条件,ConditionIs
326,苹果粗皮果病,Apple rough skin disease,潮湿多阴,Humid and cloudy,适宜发生条件,ConditionIs
327,苹果花叶病,Apple mosaic virus,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
328,苹果花叶病,Apple mosaic virus,土壤干旱,Soil drought,适宜发生条件,ConditionIs
329,苹果花叶病,Apple mosaic virus,水肥不足,Insufficient water and fertilizer,适宜发生条件,ConditionIs
330,苹果树再植病,Apple replant disease,土壤结构不良,Poor soil structure,适宜发生条件,ConditionIs
331,苹果树再植病,Apple replant disease,通气性差,Poor ventilation,适宜发生条件,ConditionIs
332,苹果树再植病,Apple replant disease,干旱,drought,适宜发生条件,ConditionIs
333,苹果树再植病,Apple replant disease,营养失衡,Nutritional imbalance,适宜发生条件,ConditionIs
334,苹果缺铁黄化症,Apple iron deficiency chlorosis,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
335,苹果缺铁黄化症,Apple iron deficiency chlorosis,排水差,Poor drainage,适宜发生条件,ConditionIs
336,苹果缺铁黄化症,Apple iron deficiency chlorosis,地下水位高,High groundwater level,适宜发生条件,ConditionIs
337,苹果缺铁黄化症,Apple iron deficiency chlorosis,春季多雨,Spring is rainy,适宜发生条件,ConditionIs
338,苹果缺氮症,Apple nitrogen deficiency,土壤瘠薄,Poor soil,适宜发生条件,ConditionIs
339,苹果缺氮症,Apple nitrogen deficiency,管理粗放,Extensive management,适宜发生条件,ConditionIs
340,苹果缺钾症,Apple potassium deficiency,土壤过湿,Soil too wet,适宜发生条件,ConditionIs
341,苹果缺钙症,Apple calcium deficiency,土壤干燥,Dry soil,适宜发生条件,ConditionIs
342,苹果缺钙症,Apple calcium deficiency,湿度低,Low humidity,适宜发生条件,ConditionIs
343,苹果果锈,Apple russeting,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
344,苹果果锈,Apple russeting,土质黏重,Heavy soil,适宜发生条件,ConditionIs
345,苹果果锈,Apple russeting,树势衰弱,Tree weakness,适宜发生条件,ConditionIs
346,二斑叶螨,Tetranychus urticae,高温,high temperature,适宜发生条件,ConditionIs
347,二斑叶螨,Tetranychus urticae,低湿,Low humidity,适宜发生条件,ConditionIs
348,梨黑星病,Venturia nashicola,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
349,梨黑星病,Venturia nashicola,树冠密,Density of tree crown,适宜发生条件,ConditionIs
350,梨黑星病,Venturia nashicola,通风不好,Poor ventilation,适宜发生条件,ConditionIs
351,梨树干枯病,Pear trunk blight,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
352,梨火疫病,Erwinia amylovora,久旱遇雨,"Long drought, rain",适宜发生条件,ConditionIs
353,梨火疫病,Erwinia amylovora,浇水过度,Overwatering,适宜发生条件,ConditionIs
354,梨火疫病,Erwinia amylovora,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
355,梨锈水病,Pear rusty water disease,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
356,梨白粉病,Phyllactinia pyri,夏季有雨凉爽,Summer is cool with rain,适宜发生条件,ConditionIs
357,梨白粉病,Phyllactinia pyri,密，土壤,"dense, soil",适宜发生条件,ConditionIs
358,梨白粉病,Phyllactinia pyri,重，肥料,"Heavy, Fertilizer",适宜发生条件,ConditionIs
359,梨白粉病,Phyllactinia pyri,其是钾肥,Potash fertilizer,适宜发生条件,ConditionIs
360,梨树疫病,Phytophthora cactorum,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
361,梨炭疽病,Colletotrichum gloeosporioides,相对湿度大于70%,Relative humidity greater than 70%,适宜发生条件,ConditionIs
362,梨炭疽病,Colletotrichum gloeosporioides,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
363,梨炭疽病,Colletotrichum gloeosporioides,土质黏重,Heavy soil,适宜发生条件,ConditionIs
364,梨炭疽病,Colletotrichum gloeosporioides,排水不良,Poor drainage,适宜发生条件,ConditionIs
365,梨褐斑病,Cercospora kikuchii,雨水早,Early Rain,适宜发生条件,ConditionIs
366,梨黑斑病,Alternaria kikuchiana,排水不良,Poor drainage,适宜发生条件,ConditionIs
367,梨煤污病,Capnodium spp.,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
368,梨煤污病,Capnodium spp.,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
369,梨褐腐病,Monilinia fructigena,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
370,梨白纹羽病,Rosellinia necatrix,管理粗放,Extensive management,适宜发生条件,ConditionIs
371,梨白纹羽病,Rosellinia necatrix,低洼渍水,Low-lying waterlogging,适宜发生条件,ConditionIs
372,梨白纹羽病,Rosellinia necatrix,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
373,梨顶腐病,Pear tip rot,土壤干燥,Dry soil,适宜发生条件,ConditionIs
374,梨顶腐病,Pear tip rot,地势低注,Low terrain,适宜发生条件,ConditionIs
375,蘑菇绿霉病,Trichoderma viride,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
376,蘑菇菌盖斑点病,Mushroom cap spot disease,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
377,蘑菇菌盖斑点病,Mushroom cap spot disease,通风不良,Poor ventilation,适宜发生条件,ConditionIs
378,蘑菇软腐病,Mushroom soft rot,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
379,蘑菇菌丝徒长,Mushroom mycelium overgrowth,通风不良,Poor ventilation,适宜发生条件,ConditionIs
380,蘑菇菌丝徒长,Mushroom mycelium overgrowth,空气湿度大,High humidity,适宜发生条件,ConditionIs
381,蘑菇畸形,Mushroom malformation,通风不良,Poor ventilation,适宜发生条件,ConditionIs
382,草菇折翅菌蚊,Lycoriella ingenua,于高温高,At high temperature,适宜发生条件,ConditionIs
383,食菌瘿蚊,Mycophila speyeri,相对湿度在70～80%,Relative humidity 70-80%,适宜发生条件,ConditionIs
384,食菌瘿蚊,Mycophila speyeri,相对湿度68%,Relative humidity 68%,适宜发生条件,ConditionIs
385,平菇软腐病,Oyster mushroom soft rot,高温,high temperature,适宜发生条件,ConditionIs
386,平菇软腐病,Oyster mushroom soft rot,通风不良,Poor ventilation,适宜发生条件,ConditionIs
387,平菇萎菇,Oyster mushroom wilt,空气湿度过低,Air humidity is too low,适宜发生条件,ConditionIs
388,香菇蛛网丝枝霉病,Lentinula edodes cobweb disease,菇房高温高湿,High temperature and high humidity in mushroom house,适宜发生条件,ConditionIs
389,香菇蛛网丝枝霉病,Lentinula edodes cobweb disease,通风不良,Poor ventilation,适宜发生条件,ConditionIs
390,香菇绿霉病,Trichoderma spp.,高温高湿度,High temperature and high humidity,适宜发生条件,ConditionIs
391,香菇畸形菇,Lentinula edodes malformed mushroom,光照不足,Insufficient light,适宜发生条件,ConditionIs
392,香菇畸形菇,Lentinula edodes malformed mushroom,温度不够,Not warm enough,适宜发生条件,ConditionIs
393,香菇畸形菇,Lentinula edodes malformed mushroom,通风不良,Poor ventilation,适宜发生条件,ConditionIs
394,鸡腿菇绿霉病,Coprinus comatus green mold,通气不良,Poor ventilation,适宜发生条件,ConditionIs
395,杏鲍菇畸形,Pleurotus eryngii malformation,湿度过低,Humidity is too low,适宜发生条件,ConditionIs
396,木霉,Trichoderma spp.,通气不良,Poor ventilation,适宜发生条件,ConditionIs
397,黄瘤孢霉,Sepedonium chrysospermum,高湿,High humidity,适宜发生条件,ConditionIs
398,粘菌,Myxomycetes spp.,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
399,粘菌,Myxomycetes spp.,通风不良,Poor ventilation,适宜发生条件,ConditionIs
400,鬼伞,Coprinus spp.,喜高温,Likes high temperature,适宜发生条件,ConditionIs
401,地碗菌,Russula integra,通风不畅,Poor ventilation,适宜发生条件,ConditionIs
402,西瓜蔓枯病,Mycosphaerella melonis,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
403,西瓜蔓枯病,Mycosphaerella melonis,雨后积水,Water after rain,适宜发生条件,ConditionIs
404,西瓜蔓枯病,Mycosphaerella melonis,通风不良,Poor ventilation,适宜发生条件,ConditionIs
405,西瓜蔓枯病,Mycosphaerella melonis,湿度过高,Humidity is too high,适宜发生条件,ConditionIs
406,西瓜枯萎病,Fusarium oxysporum f. sp. niveum,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
407,西瓜炭疽病,Colletotrichum orbiculare,相对湿度90%,Relative humidity 90%,适宜发生条件,ConditionIs
408,西瓜炭疽病,Colletotrichum orbiculare,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
409,西瓜炭疽病,Colletotrichum orbiculare,排水不良,Poor drainage,适宜发生条件,ConditionIs
410,西瓜炭疽病,Colletotrichum orbiculare,氮肥过多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
411,西瓜炭疽病,Colletotrichum orbiculare,通风不良,Poor ventilation,适宜发生条件,ConditionIs
412,西瓜叶枯病,Alternaria cucumerina,相对湿度高于90%,Relative humidity above 90%,适宜发生条件,ConditionIs
413,西瓜绵腐病,Pythium aphanidermatum,土温低,Low soil temperature,适宜发生条件,ConditionIs
414,西瓜绵腐病,Pythium aphanidermatum,高湿,High humidity,适宜发生条件,ConditionIs
415,西瓜细菌性果斑病,Acidovorax avenae subsp. citrulli,多雨,Rainy,适宜发生条件,ConditionIs
416,西瓜细菌性果斑病,Acidovorax avenae subsp. citrulli,高湿,High humidity,适宜发生条件,ConditionIs
417,西瓜细菌性果斑病,Acidovorax avenae subsp. citrulli,大水漫灌,Flood irrigation,适宜发生条件,ConditionIs
418,西瓜病毒病,Watermelon mosaic virus,干旱,drought,适宜发生条件,ConditionIs
419,西瓜病毒病,Watermelon mosaic virus,光照充足,Adequate lighting,适宜发生条件,ConditionIs
420,西瓜猝倒病,Pythium ultimum,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
